Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 - Login,Chrome 126.0.0.0,,,24-06-2024 12:35:20,24-06-2024 12:38:33,3m - 13.050s,PASSED
,,,,,,,
Test Cases/TC01 - Verify Home Page of CURA,Chrome 126.0.0.0,,,24-06-2024 12:35:20,24-06-2024 12:35:29,8.789s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,24-06-2024 12:35:20,24-06-2024 12:35:22,1.717s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,24-06-2024 12:35:22,24-06-2024 12:35:25,2.968s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,24-06-2024 12:35:25,24-06-2024 12:35:25,0.498s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/h3_We Care About Your Health""), ""We Care About Your Health"")",Chrome 126.0.0.0,,,24-06-2024 12:35:25,24-06-2024 12:35:26,0.337s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/strong_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,24-06-2024 12:35:26,24-06-2024 12:35:26,0.300s,PASSED
"ExpectedValue = ""Atlanta 550 Pharr Road NE Suite 525
Atlanta, GA 30305""",Chrome 126.0.0.0,,,24-06-2024 12:35:26,24-06-2024 12:35:26,0.001s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/p_Atlanta 550 Pharr Road NE Suite 525Atlant_8f4c85""), ExpectedValue)",Chrome 126.0.0.0,,,24-06-2024 12:35:26,24-06-2024 12:35:26,0.293s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/li_(678) 813-1KMS""), ""(678) 813-1KMS"")",Chrome 126.0.0.0,,,24-06-2024 12:35:26,24-06-2024 12:35:27,0.297s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/li_infokatalon.com""), ""info@katalon.com"")",Chrome 126.0.0.0,,,24-06-2024 12:35:27,24-06-2024 12:35:27,0.300s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/i_infokatalon.com_fa fa-facebook fa-fw fa-3x""))",Chrome 126.0.0.0,,,24-06-2024 12:35:27,24-06-2024 12:35:27,0.299s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/i_infokatalon.com_fa fa-twitter fa-fw fa-3x""))",Chrome 126.0.0.0,,,24-06-2024 12:35:27,24-06-2024 12:35:27,0.312s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/i_infokatalon.com_fa fa-dribbble fa-fw fa-3x""))",Chrome 126.0.0.0,,,24-06-2024 12:35:27,24-06-2024 12:35:28,0.295s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/p_Copyright  CURA Healthcare Service 2024""), ""Copyright © CURA Healthcare Service 2024"")",Chrome 126.0.0.0,,,24-06-2024 12:35:28,24-06-2024 12:35:28,0.325s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,24-06-2024 12:35:28,24-06-2024 12:35:28,0.316s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,24-06-2024 12:35:28,24-06-2024 12:35:29,0.179s,PASSED
,,,,,,,
Test Cases/TC02 - Login normally,Chrome 126.0.0.0,,,24-06-2024 12:35:29,24-06-2024 12:37:11,1m - 42.407s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,24-06-2024 12:35:29,24-06-2024 12:35:29,0.693s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,24-06-2024 12:35:29,24-06-2024 12:35:33,3.955s,PASSED
"click(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,24-06-2024 12:35:33,24-06-2024 12:35:34,0.751s,PASSED
"click(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/input_Username_username""))",Chrome 126.0.0.0,,,24-06-2024 12:35:34,24-06-2024 12:36:06,31.735s,PASSED
"setText(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,24-06-2024 12:36:06,24-06-2024 12:37:09,1m - 2.844s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,24-06-2024 12:37:09,24-06-2024 12:37:09,0.565s,PASSED
"click(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,24-06-2024 12:37:09,24-06-2024 12:37:11,1.524s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,24-06-2024 12:37:11,24-06-2024 12:37:11,0.262s,PASSED
,,,,,,,
Test Cases/TC10 - Login in another way,Chrome 126.0.0.0,,,24-06-2024 12:37:11,24-06-2024 12:37:24,12.667s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,24-06-2024 12:37:11,24-06-2024 12:37:12,0.608s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,24-06-2024 12:37:12,24-06-2024 12:37:18,6.398s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,24-06-2024 12:37:18,24-06-2024 12:37:18,0.316s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,24-06-2024 12:37:18,24-06-2024 12:37:19,0.779s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/h2_Login""), ""Login"")",Chrome 126.0.0.0,,,24-06-2024 12:37:19,24-06-2024 12:37:20,0.403s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 126.0.0.0,,,24-06-2024 12:37:20,24-06-2024 12:37:20,0.343s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/a_Login""))",Chrome 126.0.0.0,,,24-06-2024 12:37:20,24-06-2024 12:37:20,0.342s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/h2_Login""), ""Login"")",Chrome 126.0.0.0,,,24-06-2024 12:37:20,24-06-2024 12:37:20,0.284s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,24-06-2024 12:37:20,24-06-2024 12:37:21,0.422s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/a_Home""))",Chrome 126.0.0.0,,,24-06-2024 12:37:21,24-06-2024 12:37:22,0.679s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,24-06-2024 12:37:22,24-06-2024 12:37:22,0.330s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,24-06-2024 12:37:22,24-06-2024 12:37:22,0.343s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/a_Login""))",Chrome 126.0.0.0,,,24-06-2024 12:37:22,24-06-2024 12:37:23,0.631s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/h2_Login""), ""Login"")",Chrome 126.0.0.0,,,24-06-2024 12:37:23,24-06-2024 12:37:23,0.544s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,24-06-2024 12:37:23,24-06-2024 12:37:24,0.183s,PASSED
,,,,,,,
Test Cases/TC03 - Login Failed,Chrome 126.0.0.0,,,24-06-2024 12:37:24,24-06-2024 12:38:12,48.720s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,24-06-2024 12:37:24,24-06-2024 12:37:25,0.737s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,24-06-2024 12:37:25,24-06-2024 12:37:27,2.678s,PASSED
"click(findTestObject(""Failed Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,24-06-2024 12:37:27,24-06-2024 12:37:28,0.738s,PASSED
"userName = getAttribute(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""username"")",Chrome 126.0.0.0,,,24-06-2024 12:37:28,24-06-2024 12:37:29,0.490s,PASSED
"passWord = getAttribute(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Password_password""), ""password"")",Chrome 126.0.0.0,,,24-06-2024 12:37:29,24-06-2024 12:37:29,0.300s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,24-06-2024 12:37:29,24-06-2024 12:37:29,0.342s,PASSED
"setText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""John"")",Chrome 126.0.0.0,,,24-06-2024 12:37:29,24-06-2024 12:37:30,0.788s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,24-06-2024 12:37:30,24-06-2024 12:37:31,1.000s,PASSED
"setText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,24-06-2024 12:37:31,24-06-2024 12:37:32,0.941s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,24-06-2024 12:37:32,24-06-2024 12:37:33,0.863s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,24-06-2024 12:37:33,24-06-2024 12:37:33,0.651s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,24-06-2024 12:37:33,24-06-2024 12:37:34,0.834s,PASSED
"setText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""John"")",Chrome 126.0.0.0,,,24-06-2024 12:37:34,24-06-2024 12:37:35,0.700s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,24-06-2024 12:37:35,24-06-2024 12:37:35,0.512s,PASSED
