Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 - Login and Logout,Chrome 126.0.0.0,,,27-06-2024 11:00:21,27-06-2024 11:03:36,3m - 14.786s,PASSED
,,,,,,,
Test Cases/TC01 - Verify Home Page of CURA,Chrome 126.0.0.0,,,27-06-2024 11:00:22,27-06-2024 11:00:32,10.588s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,27-06-2024 11:00:22,27-06-2024 11:00:25,2.483s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,27-06-2024 11:00:25,27-06-2024 11:00:28,2.898s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,27-06-2024 11:00:28,27-06-2024 11:00:28,0.486s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/h3_We Care About Your Health""), ""We Care About Your Health"")",Chrome 126.0.0.0,,,27-06-2024 11:00:28,27-06-2024 11:00:28,0.341s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/strong_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,27-06-2024 11:00:28,27-06-2024 11:00:29,0.467s,PASSED
"ExpectedValue = ""Atlanta 550 Pharr Road NE Suite 525
Atlanta, GA 30305""",Chrome 126.0.0.0,,,27-06-2024 11:00:29,27-06-2024 11:00:29,0.011s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/p_Atlanta 550 Pharr Road NE Suite 525Atlant_8f4c85""), ExpectedValue)",Chrome 126.0.0.0,,,27-06-2024 11:00:29,27-06-2024 11:00:29,0.294s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/li_(678) 813-1KMS""), ""(678) 813-1KMS"")",Chrome 126.0.0.0,,,27-06-2024 11:00:29,27-06-2024 11:00:29,0.322s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/li_infokatalon.com""), ""info@katalon.com"")",Chrome 126.0.0.0,,,27-06-2024 11:00:29,27-06-2024 11:00:30,0.338s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/i_infokatalon.com_fa fa-facebook fa-fw fa-3x""))",Chrome 126.0.0.0,,,27-06-2024 11:00:30,27-06-2024 11:00:30,0.360s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/i_infokatalon.com_fa fa-twitter fa-fw fa-3x""))",Chrome 126.0.0.0,,,27-06-2024 11:00:30,27-06-2024 11:00:31,0.347s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/i_infokatalon.com_fa fa-dribbble fa-fw fa-3x""))",Chrome 126.0.0.0,,,27-06-2024 11:00:31,27-06-2024 11:00:31,0.312s,PASSED
"verifyElementText(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/p_Copyright  CURA Healthcare Service 2024""), ""Copyright © CURA Healthcare Service 2024"")",Chrome 126.0.0.0,,,27-06-2024 11:00:31,27-06-2024 11:00:31,0.355s,PASSED
"verifyElementClickable(findTestObject(""Object Repository/Homepage of CURA/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,27-06-2024 11:00:31,27-06-2024 11:00:31,0.302s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,27-06-2024 11:00:31,27-06-2024 11:00:32,0.778s,PASSED
,,,,,,,
Test Cases/TC02 - Login normally,Chrome 126.0.0.0,,,27-06-2024 11:00:32,27-06-2024 11:02:14,1m - 41.955s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,27-06-2024 11:00:32,27-06-2024 11:00:33,0.719s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,27-06-2024 11:00:33,27-06-2024 11:00:34,1.100s,PASSED
"click(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,27-06-2024 11:00:34,27-06-2024 11:00:37,2.517s,PASSED
"click(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/input_Username_username""))",Chrome 126.0.0.0,,,27-06-2024 11:00:37,27-06-2024 11:01:09,31.767s,PASSED
"setText(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,27-06-2024 11:01:09,27-06-2024 11:02:12,1m - 3.049s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,27-06-2024 11:02:12,27-06-2024 11:02:12,0.608s,PASSED
"click(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:02:12,27-06-2024 11:02:14,1.558s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,27-06-2024 11:02:14,27-06-2024 11:02:14,0.508s,PASSED
,,,,,,,
Test Cases/TC10 - Login in another way,Chrome 126.0.0.0,,,27-06-2024 11:02:14,27-06-2024 11:02:25,10.440s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,27-06-2024 11:02:15,27-06-2024 11:02:15,0.937s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,27-06-2024 11:02:15,27-06-2024 11:02:17,1.382s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,27-06-2024 11:02:17,27-06-2024 11:02:19,1.902s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,27-06-2024 11:02:19,27-06-2024 11:02:20,0.849s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/h2_Login""), ""Login"")",Chrome 126.0.0.0,,,27-06-2024 11:02:20,27-06-2024 11:02:20,0.436s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 126.0.0.0,,,27-06-2024 11:02:20,27-06-2024 11:02:20,0.377s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/a_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:02:20,27-06-2024 11:02:21,0.441s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/h2_Login""), ""Login"")",Chrome 126.0.0.0,,,27-06-2024 11:02:21,27-06-2024 11:02:21,0.371s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,27-06-2024 11:02:21,27-06-2024 11:02:22,0.329s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/a_Home""))",Chrome 126.0.0.0,,,27-06-2024 11:02:22,27-06-2024 11:02:22,0.794s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,27-06-2024 11:02:22,27-06-2024 11:02:23,0.329s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,27-06-2024 11:02:23,27-06-2024 11:02:23,0.403s,PASSED
"click(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/a_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:02:23,27-06-2024 11:02:24,0.918s,PASSED
"verifyElementText(findTestObject(""Object Repository/Login menu check/Page_CURA Healthcare Service/h2_Login""), ""Login"")",Chrome 126.0.0.0,,,27-06-2024 11:02:24,27-06-2024 11:02:25,0.590s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,27-06-2024 11:02:25,27-06-2024 11:02:25,0.254s,PASSED
,,,,,,,
Test Cases/TC03 - Login Failed,Chrome 126.0.0.0,,,27-06-2024 11:02:25,27-06-2024 11:03:15,49.997s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,27-06-2024 11:02:25,27-06-2024 11:02:26,0.871s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,27-06-2024 11:02:26,27-06-2024 11:02:29,2.965s,PASSED
"click(findTestObject(""Failed Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,27-06-2024 11:02:29,27-06-2024 11:02:30,0.774s,PASSED
"userName = getAttribute(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""username"")",Chrome 126.0.0.0,,,27-06-2024 11:02:30,27-06-2024 11:02:30,0.462s,PASSED
"passWord = getAttribute(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Password_password""), ""password"")",Chrome 126.0.0.0,,,27-06-2024 11:02:30,27-06-2024 11:02:30,0.336s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,27-06-2024 11:02:30,27-06-2024 11:02:31,0.395s,PASSED
"setText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""John"")",Chrome 126.0.0.0,,,27-06-2024 11:02:31,27-06-2024 11:02:32,0.835s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:02:32,27-06-2024 11:02:33,0.982s,PASSED
"setText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,27-06-2024 11:02:33,27-06-2024 11:02:34,0.838s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:02:34,27-06-2024 11:02:34,0.955s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,27-06-2024 11:02:34,27-06-2024 11:02:35,0.725s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:02:35,27-06-2024 11:02:36,0.948s,PASSED
"setText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""John"")",Chrome 126.0.0.0,,,27-06-2024 11:02:36,27-06-2024 11:02:37,0.790s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,27-06-2024 11:02:37,27-06-2024 11:02:37,0.456s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:02:37,27-06-2024 11:02:38,1.013s,PASSED
"setText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,27-06-2024 11:02:38,27-06-2024 11:02:39,0.886s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Password_password""), ""MVM0NgHgraY="")",Chrome 126.0.0.0,,,27-06-2024 11:02:39,27-06-2024 11:02:40,0.343s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:02:40,27-06-2024 11:02:41,1.023s,PASSED
"setText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,27-06-2024 11:02:41,27-06-2024 11:02:42,0.959s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,27-06-2024 11:02:42,27-06-2024 11:02:42,0.418s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:02:42,27-06-2024 11:02:43,0.967s,PASSED
"if (userName == ""John Doe"" && passWord == ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,27-06-2024 11:02:43,27-06-2024 11:02:43,0.003s,PASSED
else,Chrome 126.0.0.0,,,27-06-2024 11:02:43,27-06-2024 11:03:14,31.441s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,27-06-2024 11:03:14,27-06-2024 11:03:15,0.405s,PASSED
,,,,,,,
Test Cases/TC08 - Logout,Chrome 126.0.0.0,,,27-06-2024 11:03:15,27-06-2024 11:03:36,21.334s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,27-06-2024 11:03:15,27-06-2024 11:03:16,1.063s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,27-06-2024 11:03:16,27-06-2024 11:03:17,1.303s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,27-06-2024 11:03:17,27-06-2024 11:03:20,2.449s,PASSED
"setText(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,27-06-2024 11:03:20,27-06-2024 11:03:21,0.860s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,27-06-2024 11:03:21,27-06-2024 11:03:21,0.445s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:03:21,27-06-2024 11:03:22,1.119s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""), STOP_ON_FAILURE)",Chrome 126.0.0.0,,,27-06-2024 11:03:22,27-06-2024 11:03:23,0.387s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/a_Logout""))",Chrome 126.0.0.0,,,27-06-2024 11:03:23,27-06-2024 11:03:24,1.085s,PASSED
"verifyElementText(findTestObject(""Homepage of CURA/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,27-06-2024 11:03:24,27-06-2024 11:03:24,0.349s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,27-06-2024 11:03:24,27-06-2024 11:03:25,0.386s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,27-06-2024 11:03:25,27-06-2024 11:03:25,0.703s,PASSED
"setText(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,27-06-2024 11:03:25,27-06-2024 11:03:26,0.965s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,27-06-2024 11:03:26,27-06-2024 11:03:27,0.429s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:03:27,27-06-2024 11:03:28,0.937s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,27-06-2024 11:03:28,27-06-2024 11:03:28,0.346s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/a_Profile""))",Chrome 126.0.0.0,,,27-06-2024 11:03:28,27-06-2024 11:03:29,0.815s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/a_Logout_1""))",Chrome 126.0.0.0,,,27-06-2024 11:03:29,27-06-2024 11:03:30,1.212s,PASSED
"verifyElementText(findTestObject(""Homepage of CURA/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,27-06-2024 11:03:30,27-06-2024 11:03:30,0.344s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,27-06-2024 11:03:30,27-06-2024 11:03:31,0.379s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/a_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:03:31,27-06-2024 11:03:31,0.703s,PASSED
"setText(findTestObject(""Log out/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,27-06-2024 11:03:31,27-06-2024 11:03:32,1.053s,PASSED
"setEncryptedText(findTestObject(""Log out/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,27-06-2024 11:03:32,27-06-2024 11:03:33,0.551s,PASSED
"click(findTestObject(""Log out/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 11:03:33,27-06-2024 11:03:34,1.141s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/a_CURA Healthcare_menu-toggle""))",Chrome 126.0.0.0,,,27-06-2024 11:03:34,27-06-2024 11:03:35,0.512s,PASSED
"click(findTestObject(""Object Repository/Log out/Page_CURA Healthcare Service/a_Logout""))",Chrome 126.0.0.0,,,27-06-2024 11:03:35,27-06-2024 11:03:36,0.964s,PASSED
"verifyElementText(findTestObject(""Homepage of CURA/Page_CURA Healthcare Service/h1_CURA Healthcare Service""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,27-06-2024 11:03:36,27-06-2024 11:03:36,0.369s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,27-06-2024 11:03:36,27-06-2024 11:03:36,0.271s,PASSED
