Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03 - Coba,Chrome 126.0.0.0,,,27-06-2024 15:52:28,27-06-2024 15:53:41,1m - 12.281s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP01 - Open Browser,Chrome 126.0.0.0,,,27-06-2024 15:52:29,27-06-2024 15:52:33,4.708s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,27-06-2024 15:52:29,27-06-2024 15:52:31,1.674s,PASSED
maximizeWindow(STOP_ON_FAILURE),Chrome 126.0.0.0,,,27-06-2024 15:52:31,27-06-2024 15:52:31,0.077s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,27-06-2024 15:52:31,27-06-2024 15:52:33,2.710s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP02 - Login,Chrome 126.0.0.0,,,27-06-2024 15:52:33,27-06-2024 15:53:41,1m - 7.451s,PASSED
"click(findTestObject(""Login page/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,27-06-2024 15:52:33,27-06-2024 15:52:34,0.915s,PASSED
"setText(findTestObject(""Login page/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,27-06-2024 15:52:34,27-06-2024 15:53:38,1m - 3.399s,PASSED
"setText(findTestObject(""Login page/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,27-06-2024 15:53:38,27-06-2024 15:53:39,1.034s,PASSED
"click(findTestObject(""Login page/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,27-06-2024 15:53:39,27-06-2024 15:53:41,1.953s,PASSED
