Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS03 - History Check,Chrome 126.0.0.0,,,29-06-2024 12:45:26,29-06-2024 12:45:52,25.714s,PASSED
,,,,,,,
Test Cases/TC07 - History menu check,Chrome 126.0.0.0,,,29-06-2024 12:45:27,29-06-2024 12:45:50,22.851s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,29-06-2024 12:45:27,29-06-2024 12:45:29,2.116s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,29-06-2024 12:45:29,29-06-2024 12:45:36,6.901s,PASSED
"click(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,29-06-2024 12:45:36,29-06-2024 12:45:37,0.981s,PASSED
"setText(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,29-06-2024 12:45:37,29-06-2024 12:45:38,0.896s,PASSED
"setEncryptedText(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/input_Password_password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,29-06-2024 12:45:38,29-06-2024 12:45:39,0.459s,PASSED
"click(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,29-06-2024 12:45:39,29-06-2024 12:45:40,0.958s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/select_Tokyo CURA Healthcare Center        _5b4107""), ""Hongkong CURA Healthcare Center"", true)",Chrome 126.0.0.0,,,29-06-2024 12:45:40,29-06-2024 12:45:41,1.343s,PASSED
"click(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/input_Apply for hospital readmission_hospit_63901f""))",Chrome 126.0.0.0,,,29-06-2024 12:45:41,29-06-2024 12:45:41,0.345s,PASSED
"click(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/span_Visit Date (Required)_glyphicon glyphi_cada34""))",Chrome 126.0.0.0,,,29-06-2024 12:45:41,29-06-2024 12:45:42,0.364s,PASSED
"click(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/td_28""))",Chrome 126.0.0.0,,,29-06-2024 12:45:42,29-06-2024 12:45:42,0.619s,PASSED
"setText(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/textarea_Comment_comment""), ""Let's meet at 9 AM"")",Chrome 126.0.0.0,,,29-06-2024 12:45:42,29-06-2024 12:45:43,1.162s,PASSED
"click(findTestObject(""Appointment Hongkong/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 126.0.0.0,,,29-06-2024 12:45:43,29-06-2024 12:45:44,0.701s,PASSED
"verifyElementText(findTestObject(""Appointment Hongkong/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 126.0.0.0,,,29-06-2024 12:45:44,29-06-2024 12:45:44,0.334s,PASSED
"click(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,29-06-2024 12:45:44,29-06-2024 12:45:45,0.346s,PASSED
"click(findTestObject(""Object Repository/History check/Page_CURA Healthcare Service/a_History""))",Chrome 126.0.0.0,,,29-06-2024 12:45:45,29-06-2024 12:45:46,0.765s,PASSED
"takeScreenshotAsCheckpoint(""History Hongkong Appointment"")",Chrome 126.0.0.0,,,29-06-2024 12:45:46,29-06-2024 12:45:46,0.756s,PASSED
