Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS05 - Button Check,Chrome 126.0.0.0,,,29-06-2024 13:00:43,29-06-2024 13:02:00,1m - 16.748s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP01 - Open Browser,Chrome 126.0.0.0,,,29-06-2024 13:00:44,29-06-2024 13:00:50,5.652s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,29-06-2024 13:00:44,29-06-2024 13:00:46,1.834s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,29-06-2024 13:00:46,29-06-2024 13:00:50,3.279s,PASSED
,,,,,,,
Test Cases/TC11 - Button Check,Chrome 126.0.0.0,,,29-06-2024 13:00:50,29-06-2024 13:01:58,1m - 8.311s,PASSED
"verifyElementClickable(findTestObject(""Login page/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,29-06-2024 13:00:50,29-06-2024 13:00:50,0.538s,PASSED
"click(findTestObject(""Login page/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,29-06-2024 13:00:50,29-06-2024 13:00:51,0.812s,PASSED
"setText(findTestObject(""Login page/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,29-06-2024 13:00:51,29-06-2024 13:01:54,1m - 3.156s,PASSED
"setText(findTestObject(""Login page/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,29-06-2024 13:01:54,29-06-2024 13:01:55,0.835s,PASSED
"verifyElementClickable(findTestObject(""Login page/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,29-06-2024 13:01:55,29-06-2024 13:01:55,0.340s,PASSED
"click(findTestObject(""Login page/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,29-06-2024 13:01:55,29-06-2024 13:01:57,1.681s,PASSED
"verifyElementClickable(findTestObject(""Appointment/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 126.0.0.0,,,29-06-2024 13:01:57,29-06-2024 13:01:58,0.404s,PASSED
"verifyElementClickable(findTestObject(""History check/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,29-06-2024 13:01:58,29-06-2024 13:01:58,0.325s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP03 - Logout,Chrome 126.0.0.0,,,29-06-2024 13:01:58,29-06-2024 13:02:00,2.244s,PASSED
"verifyElementText(findTestObject(""Appointment/Page_CURA Healthcare Service/h2_Make Appointment""), ""Make Appointment"")",Chrome 126.0.0.0,,,29-06-2024 13:01:58,29-06-2024 13:01:58,0.363s,PASSED
"click(findTestObject(""History check/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,29-06-2024 13:01:58,29-06-2024 13:01:59,0.328s,PASSED
"click(findTestObject(""Log out/Page_CURA Healthcare Service/a_Logout""))",Chrome 126.0.0.0,,,29-06-2024 13:01:59,29-06-2024 13:02:00,1.002s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,29-06-2024 13:02:00,29-06-2024 13:02:00,0.383s,PASSED
