Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS01 - Login variation,Chrome 126.0.0.0,,,29-06-2024 13:10:24,29-06-2024 13:12:31,2m - 6.964s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP01 - Open Browser,Chrome 126.0.0.0,,,29-06-2024 13:10:24,29-06-2024 13:10:29,4.651s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,29-06-2024 13:10:24,29-06-2024 13:10:26,1.625s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,29-06-2024 13:10:26,29-06-2024 13:10:29,2.738s,PASSED
,,,,,,,
Test Cases/TC03 - Login wrong password,Chrome 126.0.0.0,,,29-06-2024 13:10:29,29-06-2024 13:10:34,5.754s,PASSED
"click(findTestObject(""Failed Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,29-06-2024 13:10:29,29-06-2024 13:10:30,0.947s,PASSED
"userName = getAttribute(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""username"")",Chrome 126.0.0.0,,,29-06-2024 13:10:30,29-06-2024 13:10:30,0.414s,PASSED
"passWord = getAttribute(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Password_password""), ""password"")",Chrome 126.0.0.0,,,29-06-2024 13:10:30,29-06-2024 13:10:31,0.362s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,29-06-2024 13:10:31,29-06-2024 13:10:31,0.417s,PASSED
"setText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), "" John Doe"")",Chrome 126.0.0.0,,,29-06-2024 13:10:31,29-06-2024 13:10:32,0.946s,PASSED
"setText(findTestObject(""Login page/Page_CURA Healthcare Service/input_Password_password""), ""This"")",Chrome 126.0.0.0,,,29-06-2024 13:10:32,29-06-2024 13:10:33,0.913s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,29-06-2024 13:10:33,29-06-2024 13:10:34,1.046s,PASSED
"if (userName == ""John Doe"" && passWord == ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,29-06-2024 13:10:34,29-06-2024 13:10:34,0.002s,PASSED
else,Chrome 126.0.0.0,,,29-06-2024 13:10:34,29-06-2024 13:10:34,0.461s,PASSED
,,,,,,,
Test Cases/TC03 - Login wrong username,Chrome 126.0.0.0,,,29-06-2024 13:10:34,29-06-2024 13:10:38,3.696s,PASSED
"click(findTestObject(""Failed Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,29-06-2024 13:10:34,29-06-2024 13:10:35,0.363s,PASSED
"userName = getAttribute(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""username"")",Chrome 126.0.0.0,,,29-06-2024 13:10:35,29-06-2024 13:10:35,0.311s,PASSED
"passWord = getAttribute(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Password_password""), ""password"")",Chrome 126.0.0.0,,,29-06-2024 13:10:35,29-06-2024 13:10:36,0.398s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,29-06-2024 13:10:36,29-06-2024 13:10:36,0.355s,PASSED
"setText(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/input_Username_username""), ""John"")",Chrome 126.0.0.0,,,29-06-2024 13:10:36,29-06-2024 13:10:37,0.681s,PASSED
"click(findTestObject(""Object Repository/Failed Login/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,29-06-2024 13:10:37,29-06-2024 13:10:38,0.922s,PASSED
"if (userName == ""John Doe"" && passWord == ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,29-06-2024 13:10:38,29-06-2024 13:10:38,0.004s,PASSED
else,Chrome 126.0.0.0,,,29-06-2024 13:10:38,29-06-2024 13:10:38,0.496s,PASSED
,,,,,,,
Test Cases/TC02 - Login normally,Chrome 126.0.0.0,,,29-06-2024 13:10:38,29-06-2024 13:12:29,1m - 50.500s,PASSED
delay(2),Chrome 126.0.0.0,,,29-06-2024 13:10:38,29-06-2024 13:10:40,2.058s,PASSED
takeFullPageScreenshot(),Chrome 126.0.0.0,,,29-06-2024 13:10:40,29-06-2024 13:10:42,1.360s,PASSED
"click(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,29-06-2024 13:10:42,29-06-2024 13:10:42,0.373s,PASSED
"click(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/input_Username_username""))",Chrome 126.0.0.0,,,29-06-2024 13:10:42,29-06-2024 13:11:13,31.551s,PASSED
"takeScreenshotAsCheckpoint(""Login page"")",Chrome 126.0.0.0,,,29-06-2024 13:11:13,29-06-2024 13:11:14,0.672s,PASSED
"setText(findTestObject(""Object Repository/Login page/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,29-06-2024 13:11:14,29-06-2024 13:12:19,1m - 4.843s,PASSED
