Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TC09 - Login using data driven,Chrome 126.0.0.0,,,02-07-2024 11:18:29,02-07-2024 11:19:10,41.648s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,,02-07-2024 11:18:29,02-07-2024 11:18:38,9.436s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 11:18:29,02-07-2024 11:18:31,2.153s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 11:18:31,02-07-2024 11:18:34,2.882s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,02-07-2024 11:18:34,02-07-2024 11:18:34,0.002s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 11:18:34,02-07-2024 11:18:35,1.144s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:18:35,02-07-2024 11:18:36,0.927s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:18:36,02-07-2024 11:18:37,0.797s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,02-07-2024 11:18:37,02-07-2024 11:18:38,1.249s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,,02-07-2024 11:18:38,02-07-2024 11:18:46,7.938s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 11:18:38,02-07-2024 11:18:40,1.197s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 11:18:40,02-07-2024 11:18:43,2.921s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,02-07-2024 11:18:43,02-07-2024 11:18:43,0.000s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 11:18:43,02-07-2024 11:18:44,1.007s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:18:44,02-07-2024 11:18:44,0.892s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:18:44,02-07-2024 11:18:45,0.818s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,02-07-2024 11:18:45,02-07-2024 11:18:46,1.077s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,,02-07-2024 11:18:46,02-07-2024 11:18:54,7.713s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 11:18:46,02-07-2024 11:18:48,1.254s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 11:18:48,02-07-2024 11:18:51,2.921s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,02-07-2024 11:18:51,02-07-2024 11:18:51,0.000s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 11:18:51,02-07-2024 11:18:51,0.710s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:18:51,02-07-2024 11:18:52,0.927s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:18:52,02-07-2024 11:18:53,0.805s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,02-07-2024 11:18:53,02-07-2024 11:18:54,1.068s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,,02-07-2024 11:18:54,02-07-2024 11:19:02,7.969s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 11:18:54,02-07-2024 11:18:55,1.241s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 11:18:55,02-07-2024 11:18:58,3.046s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,02-07-2024 11:18:58,02-07-2024 11:18:58,0.000s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 11:18:58,02-07-2024 11:18:59,0.794s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:18:59,02-07-2024 11:19:00,0.955s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:19:00,02-07-2024 11:19:01,0.768s,PASSED
