Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS09 - Login using data driven,Chrome 126.0.0.0,,,02-07-2024 11:41:47,02-07-2024 11:43:24,1m - 37.164s,FAILED
,,,,,,,
Test Cases/Test Case Properties/TCP01 - Open browser,Chrome 126.0.0.0,,,02-07-2024 11:41:47,02-07-2024 11:41:53,5.256s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 11:41:48,02-07-2024 11:41:50,1.827s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 11:41:50,02-07-2024 11:41:53,3.042s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,,02-07-2024 11:41:53,02-07-2024 11:41:58,5.120s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 11:41:53,02-07-2024 11:41:54,1.020s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,02-07-2024 11:41:54,02-07-2024 11:41:54,0.008s,PASSED
"username = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:41:54,02-07-2024 11:41:54,0.388s,PASSED
"password = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:41:54,02-07-2024 11:41:55,0.352s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:41:55,02-07-2024 11:41:55,0.794s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:41:55,02-07-2024 11:41:56,0.741s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,02-07-2024 11:41:56,02-07-2024 11:41:57,1.124s,PASSED
"if (username == ""John Doe"" && password == ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,02-07-2024 11:41:57,02-07-2024 11:41:57,0.002s,PASSED
else,Chrome 126.0.0.0,,,02-07-2024 11:41:57,02-07-2024 11:41:58,0.402s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,,02-07-2024 11:41:58,02-07-2024 11:42:02,4.025s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 11:41:58,02-07-2024 11:41:58,0.340s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,02-07-2024 11:41:58,02-07-2024 11:41:58,0.005s,PASSED
"username = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:41:58,02-07-2024 11:41:59,0.325s,PASSED
"password = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:41:59,02-07-2024 11:41:59,0.371s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:41:59,02-07-2024 11:42:00,0.747s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:42:00,02-07-2024 11:42:00,0.649s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,02-07-2024 11:42:00,02-07-2024 11:42:01,0.948s,PASSED
"if (username == ""John Doe"" && password == ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,02-07-2024 11:42:01,02-07-2024 11:42:01,0.000s,PASSED
else,Chrome 126.0.0.0,,,02-07-2024 11:42:01,02-07-2024 11:42:02,0.587s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,,02-07-2024 11:42:02,02-07-2024 11:42:06,4.022s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 11:42:02,02-07-2024 11:42:02,0.316s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,02-07-2024 11:42:02,02-07-2024 11:42:02,0.001s,PASSED
"username = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:42:02,02-07-2024 11:42:02,0.302s,PASSED
"password = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:42:03,02-07-2024 11:42:03,0.378s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:42:03,02-07-2024 11:42:04,0.744s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:42:04,02-07-2024 11:42:04,0.786s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,02-07-2024 11:42:04,02-07-2024 11:42:05,1.070s,PASSED
"if (username == ""John Doe"" && password == ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,02-07-2024 11:42:05,02-07-2024 11:42:05,0.006s,PASSED
else,Chrome 126.0.0.0,,,02-07-2024 11:42:05,02-07-2024 11:42:06,0.371s,PASSED
,,,,,,,
Test Cases/TC17 - Login using data driven,Chrome 126.0.0.0,,,02-07-2024 11:42:06,02-07-2024 11:42:10,4.145s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 11:42:06,02-07-2024 11:42:06,0.346s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,02-07-2024 11:42:06,02-07-2024 11:42:06,0.001s,PASSED
"username = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:42:06,02-07-2024 11:42:07,0.352s,PASSED
"password = getAttribute(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:42:07,02-07-2024 11:42:07,0.333s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 11:42:07,02-07-2024 11:42:08,0.827s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 11:42:08,02-07-2024 11:42:09,0.801s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,02-07-2024 11:42:09,02-07-2024 11:42:10,1.080s,PASSED
"if (username == ""John Doe"" && password == ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,02-07-2024 11:42:10,02-07-2024 11:42:10,0.000s,PASSED
