Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS08 - Hongkong appointment using variable,Chrome 126.0.0.0,,,02-07-2024 17:58:20,02-07-2024 17:59:31,1m - 11.177s,FAILED
,,,,,,,
Test Cases/TC15 - Login using variable,Chrome 126.0.0.0,,,02-07-2024 17:58:21,02-07-2024 17:58:30,9.198s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,02-07-2024 17:58:21,02-07-2024 17:58:23,1.685s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,02-07-2024 17:58:23,02-07-2024 17:58:26,3.100s,PASSED
"loginParameter = ""varibleLogin""",Chrome 126.0.0.0,,,02-07-2024 17:58:26,02-07-2024 17:58:26,0.003s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 17:58:26,02-07-2024 17:58:27,1.070s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",Chrome 126.0.0.0,,,02-07-2024 17:58:27,02-07-2024 17:58:28,0.863s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",Chrome 126.0.0.0,,,02-07-2024 17:58:28,02-07-2024 17:58:28,0.897s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,02-07-2024 17:58:28,02-07-2024 17:58:30,1.223s,PASSED
,,,,,,,
Test Cases/TC16 - Appointment Hongkong using variable,Chrome 126.0.0.0,,,02-07-2024 17:59:26,02-07-2024 17:59:27,1.097s,FAILED
"commentPage = ""Comment""",Chrome 126.0.0.0,,,02-07-2024 17:59:26,02-07-2024 17:59:26,0.001s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,02-07-2024 17:59:26,02-07-2024 17:59:27,1.020s,FAILED
,,,,,,,
Test Cases/Test Case Properties/TCP03 - Logout,Chrome 126.0.0.0,,,02-07-2024 17:59:30,02-07-2024 17:59:31,1.065s,FAILED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Make Appointment Text""), ""Make Appointment"")",Chrome 126.0.0.0,,,02-07-2024 17:59:30,02-07-2024 17:59:31,1.021s,FAILED
