Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS12 - Hongkong appointment using data driven,Chrome 126.0.0.0,,,03-07-2024 10:35:08,03-07-2024 10:35:52,43.975s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP01 - Open browser,Chrome 126.0.0.0,,,03-07-2024 10:35:08,03-07-2024 10:35:13,5.048s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,03-07-2024 10:35:09,03-07-2024 10:35:11,1.657s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,03-07-2024 10:35:11,03-07-2024 10:35:13,2.944s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP02 - Login,Chrome 126.0.0.0,,,03-07-2024 10:35:14,03-07-2024 10:35:18,4.424s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,03-07-2024 10:35:14,03-07-2024 10:35:15,0.949s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Login Text""), ""Login"")",Chrome 126.0.0.0,,,03-07-2024 10:35:15,03-07-2024 10:35:15,0.464s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), ""John Doe"")",Chrome 126.0.0.0,,,03-07-2024 10:35:15,03-07-2024 10:35:16,0.911s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,03-07-2024 10:35:16,03-07-2024 10:35:17,0.896s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,03-07-2024 10:35:17,03-07-2024 10:35:18,1.054s,PASSED
,,,,,,,
Test Cases/TC20 - Hongkong Appointment using data driven,Chrome 126.0.0.0,,,03-07-2024 10:35:18,03-07-2024 10:35:26,7.718s,PASSED
"selectOptionByValue(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Facility""), facilityBook, true, CONTINUE_ON_FAILURE)",Chrome 126.0.0.0,,,03-07-2024 10:35:18,03-07-2024 10:35:19,1.190s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Apply for Hospital Readmission""))",Chrome 126.0.0.0,,,03-07-2024 10:35:19,03-07-2024 10:35:20,0.333s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Medicare""))",Chrome 126.0.0.0,,,03-07-2024 10:35:20,03-07-2024 10:35:20,0.352s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Visit Date""))",Chrome 126.0.0.0,,,03-07-2024 10:35:20,03-07-2024 10:35:21,0.731s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Visit Date""), visitDateBook)",Chrome 126.0.0.0,,,03-07-2024 10:35:21,03-07-2024 10:35:22,1.580s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Comment""), commentBook)",Chrome 126.0.0.0,,,03-07-2024 10:35:22,03-07-2024 10:35:23,0.945s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Book Appointment""))",Chrome 126.0.0.0,,,03-07-2024 10:35:23,03-07-2024 10:35:24,0.652s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",Chrome 126.0.0.0,,,03-07-2024 10:35:24,03-07-2024 10:35:25,0.646s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Home""))",Chrome 126.0.0.0,,,03-07-2024 10:35:25,03-07-2024 10:35:25,0.777s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,03-07-2024 10:35:25,03-07-2024 10:35:26,0.361s,PASSED
,,,,,,,
Test Cases/TC20 - Hongkong Appointment using data driven,Chrome 126.0.0.0,,,03-07-2024 10:35:26,03-07-2024 10:35:34,7.859s,PASSED
"selectOptionByValue(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Facility""), facilityBook, true, CONTINUE_ON_FAILURE)",Chrome 126.0.0.0,,,03-07-2024 10:35:26,03-07-2024 10:35:27,1.332s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Apply for Hospital Readmission""))",Chrome 126.0.0.0,,,03-07-2024 10:35:27,03-07-2024 10:35:28,0.339s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Medicare""))",Chrome 126.0.0.0,,,03-07-2024 10:35:28,03-07-2024 10:35:28,0.377s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Visit Date""))",Chrome 126.0.0.0,,,03-07-2024 10:35:28,03-07-2024 10:35:29,0.739s,PASSED
