Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS12 - Tokyo appointment using data driven,Chrome 126.0.0.0,,,03-07-2024 17:30:50,03-07-2024 17:31:18,28.256s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP01 - Open browser,Chrome 126.0.0.0,,,03-07-2024 17:30:50,03-07-2024 17:30:54,4.087s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,03-07-2024 17:30:50,03-07-2024 17:30:51,1.256s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,03-07-2024 17:30:51,03-07-2024 17:30:54,2.652s,PASSED
,,,,,,,
Test Cases/Test Case Properties/TCP02 - Login,Chrome 126.0.0.0,,,03-07-2024 17:30:54,03-07-2024 17:30:57,3.224s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,03-07-2024 17:30:54,03-07-2024 17:30:55,0.750s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Login Text""), ""Login"")",Chrome 126.0.0.0,,,03-07-2024 17:30:55,03-07-2024 17:30:55,0.397s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), ""John Doe"")",Chrome 126.0.0.0,,,03-07-2024 17:30:55,03-07-2024 17:30:56,0.592s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,03-07-2024 17:30:56,03-07-2024 17:30:56,0.587s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,03-07-2024 17:30:56,03-07-2024 17:30:57,0.816s,PASSED
,,,,,,,
Test Cases/TC20 - Tokyo appointment using data driven,Chrome 126.0.0.0,,,03-07-2024 17:30:57,03-07-2024 17:31:03,6.080s,PASSED
"selectOptionByValue(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Facility""), facility, true)",Chrome 126.0.0.0,,,03-07-2024 17:30:57,03-07-2024 17:30:58,0.919s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Medicare""))",Chrome 126.0.0.0,,,03-07-2024 17:30:58,03-07-2024 17:30:58,0.284s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Visit Date""))",Chrome 126.0.0.0,,,03-07-2024 17:30:58,03-07-2024 17:30:59,0.565s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Visit Date""), datevisit)",Chrome 126.0.0.0,,,03-07-2024 17:30:59,03-07-2024 17:31:00,1.303s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Comment""), commentbook)",Chrome 126.0.0.0,,,03-07-2024 17:31:00,03-07-2024 17:31:01,0.797s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Book Appointment""))",Chrome 126.0.0.0,,,03-07-2024 17:31:01,03-07-2024 17:31:02,0.582s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",Chrome 126.0.0.0,,,03-07-2024 17:31:02,03-07-2024 17:31:02,0.411s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Home""))",Chrome 126.0.0.0,,,03-07-2024 17:31:02,03-07-2024 17:31:03,0.600s,PASSED
"verifyElementPresent(findTestObject(""2. CURA Test Object (Verify parameter)/CURA Healthcare Service Label""), 0)",Chrome 126.0.0.0,,,03-07-2024 17:31:03,03-07-2024 17:31:03,0.274s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,03-07-2024 17:31:03,03-07-2024 17:31:03,0.272s,PASSED
,,,,,,,
Test Cases/TC20 - Tokyo appointment using data driven,Chrome 126.0.0.0,,,03-07-2024 17:31:03,03-07-2024 17:31:10,6.313s,PASSED
"selectOptionByValue(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Facility""), facility, true)",Chrome 126.0.0.0,,,03-07-2024 17:31:03,03-07-2024 17:31:05,1.244s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Medicare""))",Chrome 126.0.0.0,,,03-07-2024 17:31:05,03-07-2024 17:31:05,0.281s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Visit Date""))",Chrome 126.0.0.0,,,03-07-2024 17:31:05,03-07-2024 17:31:05,0.546s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Visit Date""), datevisit)",Chrome 126.0.0.0,,,03-07-2024 17:31:05,03-07-2024 17:31:07,1.331s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Comment""), commentbook)",Chrome 126.0.0.0,,,03-07-2024 17:31:07,03-07-2024 17:31:07,0.775s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Book Appointment""))",Chrome 126.0.0.0,,,03-07-2024 17:31:07,03-07-2024 17:31:08,0.532s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",Chrome 126.0.0.0,,,03-07-2024 17:31:08,03-07-2024 17:31:08,0.509s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Home""))",Chrome 126.0.0.0,,,03-07-2024 17:31:08,03-07-2024 17:31:09,0.555s,PASSED
"verifyElementPresent(findTestObject(""2. CURA Test Object (Verify parameter)/CURA Healthcare Service Label""), 0)",Chrome 126.0.0.0,,,03-07-2024 17:31:09,03-07-2024 17:31:09,0.253s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,03-07-2024 17:31:09,03-07-2024 17:31:10,0.266s,PASSED
,,,,,,,
Test Cases/TC20 - Tokyo appointment using data driven,Chrome 126.0.0.0,,,03-07-2024 17:31:10,03-07-2024 17:31:16,6.329s,PASSED
"selectOptionByValue(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Facility""), facility, true)",Chrome 126.0.0.0,,,03-07-2024 17:31:10,03-07-2024 17:31:11,1.224s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Medicare""))",Chrome 126.0.0.0,,,03-07-2024 17:31:11,03-07-2024 17:31:11,0.292s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Visit Date""))",Chrome 126.0.0.0,,,03-07-2024 17:31:11,03-07-2024 17:31:12,0.529s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Visit Date""), datevisit)",Chrome 126.0.0.0,,,03-07-2024 17:31:12,03-07-2024 17:31:13,1.330s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Comment""), commentbook)",Chrome 126.0.0.0,,,03-07-2024 17:31:13,03-07-2024 17:31:14,0.797s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Book Appointment""))",Chrome 126.0.0.0,,,03-07-2024 17:31:14,03-07-2024 17:31:14,0.549s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",Chrome 126.0.0.0,,,03-07-2024 17:31:14,03-07-2024 17:31:15,0.511s,PASSED
