Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS13 - Script using StudioAssist,Chrome 126.0.0.0,,,04-07-2024 10:51:14,04-07-2024 10:51:39,25.569s,FAILED
,,,,,,,
Test Cases/TC21 - Login using StudioAssist,Chrome 126.0.0.0,,,04-07-2024 10:51:14,04-07-2024 10:51:24,10.190s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 10:51:15,04-07-2024 10:51:17,1.999s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,04-07-2024 10:51:17,04-07-2024 10:51:20,3.165s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,04-07-2024 10:51:20,04-07-2024 10:51:21,1.015s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), username)",Chrome 126.0.0.0,,,04-07-2024 10:51:21,04-07-2024 10:51:22,0.866s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), password)",Chrome 126.0.0.0,,,04-07-2024 10:51:22,04-07-2024 10:51:23,0.844s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,04-07-2024 10:51:23,04-07-2024 10:51:24,1.181s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Make Appointment Text""), ""Make Appointment"")",Chrome 126.0.0.0,,,04-07-2024 10:51:24,04-07-2024 10:51:24,0.470s,PASSED
,,,,,,,
Test Cases/TC22 - Hongkong appointment using StudioAssist,Chrome 126.0.0.0,,,04-07-2024 10:51:38,04-07-2024 10:51:39,1.080s,FAILED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Make Appointment Text""), ""Make Appointment"")",Chrome 126.0.0.0,,,04-07-2024 10:51:38,04-07-2024 10:51:39,1.033s,FAILED
