Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS14 - Login and Logout using Keywords,Chrome 126.0.0.0,,,04-07-2024 16:03:08,04-07-2024 16:03:22,13.787s,PASSED
,,,,,,,
Test Cases/TC26 - Open browser using Keywords,Chrome 126.0.0.0,,Keywords,04-07-2024 16:03:09,04-07-2024 16:03:14,5.452s,PASSED
propertiesPage.openBrowser.main(),Chrome 126.0.0.0,,,04-07-2024 16:03:09,04-07-2024 16:03:14,5.146s,PASSED
,,,,,,,
Test Cases/TC27 - Login using Keywords,Chrome 126.0.0.0,,Keywords,04-07-2024 16:03:14,04-07-2024 16:03:19,5.045s,PASSED
propertiesPage.loginMenu.main(),Chrome 126.0.0.0,,,04-07-2024 16:03:14,04-07-2024 16:03:19,4.928s,PASSED
,,,,,,,
Test Cases/TC31- Logout using Keywords,Chrome 126.0.0.0,,Keywords,04-07-2024 16:03:19,04-07-2024 16:03:22,3.027s,PASSED
propertiesPage.logoutMenu.main(),Chrome 126.0.0.0,,,04-07-2024 16:03:19,04-07-2024 16:03:22,2.935s,PASSED
