Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS05 - History check,Chrome 126.0.0.0,,,04-07-2024 17:13:18,04-07-2024 17:13:38,19.655s,PASSED
,,,,,,,
Test Cases/TC10 - History menu check,Chrome 126.0.0.0,,Regression,04-07-2024 17:13:19,04-07-2024 17:13:36,17.620s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 17:13:19,04-07-2024 17:13:21,1.994s,PASSED
"navigateToUrl(""https://katalon-demo-cura.herokuapp.com/"")",Chrome 126.0.0.0,,,04-07-2024 17:13:21,04-07-2024 17:13:24,3.209s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",Chrome 126.0.0.0,,,04-07-2024 17:13:24,04-07-2024 17:13:25,1.000s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), ""John Doe"")",Chrome 126.0.0.0,,,04-07-2024 17:13:25,04-07-2024 17:13:26,0.966s,PASSED
"setEncryptedText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Chrome 126.0.0.0,,,04-07-2024 17:13:26,04-07-2024 17:13:27,0.489s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",Chrome 126.0.0.0,,,04-07-2024 17:13:27,04-07-2024 17:13:27,0.911s,PASSED
"selectOptionByValue(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Facility""), ""Hongkong CURA Healthcare Center"", true)",Chrome 126.0.0.0,,,04-07-2024 17:13:27,04-07-2024 17:13:28,0.998s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Apply for Hospital Readmission""))",Chrome 126.0.0.0,,,04-07-2024 17:13:28,04-07-2024 17:13:29,0.351s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Visit Date""), ""28/06/2024"")",Chrome 126.0.0.0,,,04-07-2024 17:13:29,04-07-2024 17:13:29,0.707s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Comment""), ""Let's meet at 9 AM"")",Chrome 126.0.0.0,,,04-07-2024 17:13:29,04-07-2024 17:13:30,0.946s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Book Appointment""))",Chrome 126.0.0.0,,,04-07-2024 17:13:30,04-07-2024 17:13:31,0.617s,PASSED
"verifyElementText(findTestObject(""4. Appointment Hongkong/Page_CURA Healthcare Service/h2_Appointment Confirmation""), ""Appointment Confirmation"")",Chrome 126.0.0.0,,,04-07-2024 17:13:31,04-07-2024 17:13:32,0.547s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",Chrome 126.0.0.0,,,04-07-2024 17:13:32,04-07-2024 17:13:32,0.357s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/History""))",Chrome 126.0.0.0,,,04-07-2024 17:13:32,04-07-2024 17:13:33,0.593s,PASSED
"takeScreenshotAsCheckpoint(""History Hongkong Appointment"")",Chrome 126.0.0.0,,,04-07-2024 17:13:33,04-07-2024 17:13:33,0.828s,PASSED
"verifyElementText(findTestObject(""Object Repository/8. History check/Page_CURA Healthcare Service/h2_History""), ""History"")",Chrome 126.0.0.0,,,04-07-2024 17:13:33,04-07-2024 17:13:34,0.311s,PASSED
"verifyElementText(findTestObject(""Object Repository/8. History check/Page_CURA Healthcare Service/div_28062024""), ""28/06/2024"")",Chrome 126.0.0.0,,,04-07-2024 17:13:34,04-07-2024 17:13:34,0.290s,PASSED
"verifyElementText(findTestObject(""Object Repository/8. History check/Page_CURA Healthcare Service/p_Hongkong CURA Healthcare Center""), ""Hongkong CURA Healthcare Center"")",Chrome 126.0.0.0,,,04-07-2024 17:13:34,04-07-2024 17:13:34,0.313s,PASSED
"verifyElementText(findTestObject(""Object Repository/8. History check/Page_CURA Healthcare Service/p_Yes""), ""Yes"")",Chrome 126.0.0.0,,,04-07-2024 17:13:34,04-07-2024 17:13:35,0.317s,PASSED
"verifyElementText(findTestObject(""Object Repository/8. History check/Page_CURA Healthcare Service/p_Medicare""), ""Medicare"")",Chrome 126.0.0.0,,,04-07-2024 17:13:35,04-07-2024 17:13:35,0.293s,PASSED
"verifyElementText(findTestObject(""Object Repository/8. History check/Page_CURA Healthcare Service/p_Lets meet at 9 AM""), ""Let's meet at 9 AM"")",Chrome 126.0.0.0,,,04-07-2024 17:13:35,04-07-2024 17:13:35,0.295s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Go to Homepage""))",Chrome 126.0.0.0,,,04-07-2024 17:13:35,04-07-2024 17:13:36,0.653s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/CURA Healthcare Service Label""), ""CURA Healthcare Service"")",Chrome 126.0.0.0,,,04-07-2024 17:13:36,04-07-2024 17:13:36,0.293s,PASSED
,,,,,,,
Test Cases/Properties/TCP03 - Logout,Chrome 126.0.0.0,,Helper,04-07-2024 17:13:36,04-07-2024 17:13:38,1.863s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Make Appointment Text""), ""Make Appointment"")",Chrome 126.0.0.0,,,04-07-2024 17:13:36,04-07-2024 17:13:37,0.339s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",Chrome 126.0.0.0,,,04-07-2024 17:13:37,04-07-2024 17:13:37,0.317s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Logout""))",Chrome 126.0.0.0,,,04-07-2024 17:13:37,04-07-2024 17:13:38,0.866s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 17:13:38,04-07-2024 17:13:38,0.256s,PASSED
