Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS06 - Button check,Chrome 126.0.0.0,,,04-07-2024 17:15:10,04-07-2024 17:16:24,1m - 14.382s,PASSED
,,,,,,,
Test Cases/Properties/TCP01 - Open browser,Chrome 126.0.0.0,,Helper,04-07-2024 17:15:10,04-07-2024 17:15:15,4.569s,PASSED
"openBrowser("""")",Chrome 126.0.0.0,,,04-07-2024 17:15:10,04-07-2024 17:15:12,1.567s,PASSED
navigateToUrl(URL),Chrome 126.0.0.0,,,04-07-2024 17:15:12,04-07-2024 17:15:15,2.800s,PASSED
,,,,,,,
Test Cases/TC11 - All button check,Chrome 126.0.0.0,,,04-07-2024 17:15:15,04-07-2024 17:16:23,1m - 7.902s,PASSED
"verifyElementClickable(findTestObject(""10. Login page/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,04-07-2024 17:15:15,04-07-2024 17:15:15,0.479s,PASSED
"click(findTestObject(""10. Login page/Page_CURA Healthcare Service/a_Make Appointment""))",Chrome 126.0.0.0,,,04-07-2024 17:15:15,04-07-2024 17:15:16,0.804s,PASSED
"setText(findTestObject(""10. Login page/Page_CURA Healthcare Service/input_Username_username""), ""John Doe"")",Chrome 126.0.0.0,,,04-07-2024 17:15:16,04-07-2024 17:16:19,1m - 3.150s,PASSED
"setText(findTestObject(""10. Login page/Page_CURA Healthcare Service/input_Password_password""), ""ThisIsNotAPassword"")",Chrome 126.0.0.0,,,04-07-2024 17:16:19,04-07-2024 17:16:20,0.733s,PASSED
"verifyElementClickable(findTestObject(""10. Login page/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,04-07-2024 17:16:20,04-07-2024 17:16:20,0.303s,PASSED
"click(findTestObject(""10. Login page/Page_CURA Healthcare Service/button_Login""))",Chrome 126.0.0.0,,,04-07-2024 17:16:20,04-07-2024 17:16:22,1.426s,PASSED
"verifyElementClickable(findTestObject(""3. Appointment/Page_CURA Healthcare Service/button_Book Appointment""))",Chrome 126.0.0.0,,,04-07-2024 17:16:22,04-07-2024 17:16:22,0.539s,PASSED
"verifyElementClickable(findTestObject(""8. History check/Page_CURA Healthcare Service/i_CURA Healthcare_fa fa-bars""))",Chrome 126.0.0.0,,,04-07-2024 17:16:22,04-07-2024 17:16:23,0.291s,PASSED
,,,,,,,
Test Cases/Properties/TCP03 - Logout,Chrome 126.0.0.0,,Helper,04-07-2024 17:16:23,04-07-2024 17:16:24,1.791s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Make Appointment Text""), ""Make Appointment"")",Chrome 126.0.0.0,,,04-07-2024 17:16:23,04-07-2024 17:16:23,0.359s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",Chrome 126.0.0.0,,,04-07-2024 17:16:23,04-07-2024 17:16:23,0.318s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Logout""))",Chrome 126.0.0.0,,,04-07-2024 17:16:23,04-07-2024 17:16:24,0.845s,PASSED
closeBrowser(),Chrome 126.0.0.0,,,04-07-2024 17:16:24,04-07-2024 17:16:24,0.226s,PASSED
