Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DTS02 - Object properties,TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:10:05,05-07-2024 09:12:05,1m - 59.517s,PASSED
,,,,,,,
Test Cases/Properties/TCP01 - Open browser,TestCloud - Windows - Chrome 124.0.0.0,,Helper,05-07-2024 09:10:06,05-07-2024 09:11:26,1m - 20.191s,PASSED
"openBrowser("""")",TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:10:06,05-07-2024 09:11:19,1m - 12.806s,PASSED
navigateToUrl(URL),TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:11:19,05-07-2024 09:11:26,7.108s,PASSED
,,,,,,,
Test Cases/Properties/TCP02 - Login,TestCloud - Windows - Chrome 124.0.0.0,,Helper,05-07-2024 09:11:26,05-07-2024 09:11:52,26.452s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Make Appointment""))",TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:11:26,05-07-2024 09:11:30,4.299s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Login Text""), ""Login"")",TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:11:30,05-07-2024 09:11:34,3.620s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Username""), Username)",TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:11:34,05-07-2024 09:11:41,7.126s,PASSED
"setText(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Password""), Password)",TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:11:41,05-07-2024 09:11:48,6.929s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Login Button""))",TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:11:48,05-07-2024 09:11:52,4.371s,PASSED
,,,,,,,
Test Cases/Properties/TCP03 - Logout,TestCloud - Windows - Chrome 124.0.0.0,,Helper,05-07-2024 09:11:52,05-07-2024 09:12:05,12.606s,PASSED
"verifyElementText(findTestObject(""2. CURA Test Object (Verify parameter)/Make Appointment Text""), ""Make Appointment"")",TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:11:53,05-07-2024 09:11:55,2.807s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Menu""))",TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:11:55,05-07-2024 09:11:59,3.450s,PASSED
"click(findTestObject(""1. CURA Test Object (Click, Set, Dropdown)/Logout""))",TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:11:59,05-07-2024 09:12:04,4.843s,PASSED
closeBrowser(),TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:12:04,05-07-2024 09:12:05,1.396s,PASSED
