Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
DTS04 - Object properties using Keywords,TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:19:02,05-07-2024 09:20:30,1m - 27.481s,PASSED
,,,,,,,
Test Cases/TC26 - Open browser using Keywords,TestCloud - Windows - Chrome 124.0.0.0,,Keywords,05-07-2024 09:19:02,05-07-2024 09:19:52,49.849s,PASSED
propertiesPage.openBrowser.main(),TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:19:03,05-07-2024 09:19:52,49.370s,PASSED
,,,,,,,
Test Cases/TC27 - Login using Keywords,TestCloud - Windows - Chrome 124.0.0.0,,Keywords,05-07-2024 09:19:52,05-07-2024 09:20:16,24.027s,PASSED
propertiesPage.loginMenu.main(),TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:19:52,05-07-2024 09:20:16,23.929s,PASSED
,,,,,,,
Test Cases/TC31- Logout using Keywords,TestCloud - Windows - Chrome 124.0.0.0,,Keywords,05-07-2024 09:20:16,05-07-2024 09:20:30,13.253s,PASSED
propertiesPage.logoutMenu.main(),TestCloud - Windows - Chrome 124.0.0.0,,,05-07-2024 09:20:16,05-07-2024 09:20:30,13.165s,PASSED
